DTP Enlistment Date,CI Screening result at  DODCAF,ARMY G1 Review,USCIS Notified on Final Suitability
5/13/16,2/7/18,,
1/27/16,10/5/17,Suitable,3/1/18
3/24/16,,,
2/18/16,9/11/17,,
2/2/16,1/14/18,Suitable,3/1/18
3/14/16,12/5/17,,
1/12/16,,,
2/23/16,11/22/17,Suitable,3/1/18
5/25/16,1/11/18,,
1/14/16,1/25/18,,
12/9/15,9/5/17,Suitable,3/1/18
12/11/15,11/14/17,Suitable,3/1/18
3/31/16,12/4/17,,
12/21/15,9/11/17,Suitable,3/1/18
6/23/16,2/28/18,,
10/8/15,9/6/17,Suitable,4/10/18
12/15/15,9/23/17,Suitable,3/1/18
12/30/15,10/15/17,Suitable,4/18/18
5/10/16,1/8/18,,
2/9/16,10/4/17,Suitable,3/1/18
4/21/16,1/3/18,,
6/16/16,2/2/18,,
4/7/16,3/5/18,,
1/22/16,1/22/18,,
3/18/16,12/17/17,Suitable,2/15/18
4/20/16,1/5/18,Suitable,3/1/18
4/12/16,1/4/18,Suitable,3/1/18
6/15/16,1/11/18,Suitable,4/10/18
4/12/16,12/29/17,Suitable,3/1/18
6/1/16,1/3/18,,
5/12/16,2/13/18,,
12/29/15,9/24/17,Suitable,4/10/18
2/2/16,12/27/17,,
4/29/16,1/4/18,,
3/25/16,1/31/18,Suitable,4/18/18
1/20/16,10/4/17,Suitable,4/10/18
4/28/16,1/29/18,Suitable,5/2/18
6/9/16,2/8/18,Suitable,5/2/18
12/1/15,9/17/17,Suitable,1/16/18
1/21/16,12/5/17,Suitable,3/1/18
5/2/16,1/16/18,Suitable,5/2/18
3/24/16,12/22/17,,
5/24/16,1/4/18,Suitable,4/10/18
4/26/16,3/6/18,Suitable,4/18/18
12/1/15,2/23/18,,
4/19/16,2/5/18,Suitable,5/2/18
6/2/16,1/19/18,Suitable,3/1/18
12/23/15,9/26/17,,
5/23/16,1/22/18,Suitable,3/1/18
5/17/16,2/28/18,,
1/14/16,1/29/18,Suitable,4/18/18
3/10/16,9/29/17,,
3/30/16,2/8/18,,
5/6/16,1/24/18,,
3/29/16,12/28/17,Suitable,3/1/18
5/5/16,1/25/18,Suitable,3/12/18
5/31/16,2/7/18,,
4/14/16,12/6/17,,
3/17/16,1/6/18,Suitable,3/23/18
10/8/15,8/25/17,Unsuitable,
4/15/16,2/3/18,,
2/1/16,,,
12/18/15,9/11/17,Unsuitable,
6/14/16,2/15/18,Suitable,4/10/18
3/10/16,12/6/17,,
2/4/16,11/28/17,Suitable,4/10/18
12/17/15,9/12/17,Suitable,
5/2/16,12/22/17,Suitable,3/1/18
2/17/16,1/16/18,,
5/4/16,2/21/18,Suitable,3/23/18
2/25/16,2/8/18,Suitable,5/2/18
12/23/15,9/19/17,,
4/21/16,2/3/18,,
5/25/16,1/10/18,Suitable,5/2/18
6/9/16,1/23/18,,
4/1/16,1/29/18,Suitable,4/18/18
2/10/16,10/15/17,Suitable,3/1/18
3/18/16,12/7/17,Suitable,3/1/18
3/23/16,12/5/17,Suitable,4/18/18
4/12/16,12/26/17,Suitable,4/18/18
3/24/16,1/9/18,,
12/8/15,8/29/17,,
2/18/16,11/29/17,Unsuitable,
3/16/16,12/26/17,,
12/11/15,9/23/17,,
5/3/16,1/22/18,Suitable,4/10/18
5/12/16,1/10/18,,
3/15/16,12/22/17,Suitable,3/1/18
3/10/16,2/5/18,,
12/17/15,11/5/17,Unsuitable,
6/23/16,2/5/18,,
3/17/16,1/11/18,,
1/8/16,2/23/18,Suitable,3/23/18
6/6/16,1/19/18,Suitable,3/1/18
5/13/16,1/24/17,,
6/17/16,1/30/18,,
3/11/16,2/10/18,Suitable,4/10/18
5/12/16,3/5/18,,
4/12/16,3/2/18,Suitable,4/18/18
4/14/16,N/A,,
5/26/16,1/23/18,Suitable,5/2/18
2/10/16,10/15/17,Suitable,4/10/18
5/9/16,1/31/18,,
5/19/16,1/8/18,Suitable,3/1/18
6/2/16,1/10/18,Suitable,3/1/18
11/20/15,,,
5/6/16,1/23/18,,
3/17/16,2/5/18,,
4/12/16,1/3/18,,
4/1/16,12/29/17,Suitable,3/1/18
1/29/16,11/9/17,Suitable,3/1/18
5/26/16,2/23/18,,
12/7/15,9/24/17,Unsuitable,
1/12/16,10/23/17,Suitable,3/1/18
6/16/16,,,
3/18/16,12/26/17,,
11/19/15,2/12/18,,
6/6/16,3/8/18,,
1/28/16,,,
11/2/15,2/8/18,Suitable,4/10/18
2/18/16,,,
3/18/16,1/16/18,,
3/10/16,12/26/17,Suitable,3/1/18
12/3/15,1/23/18,Suitable,4/18/18
6/22/16,1/23/18,,
1/27/16,10/15/17,Suitable,3/20/18
9/30/15,11/1/17,,
12/23/15,2/9/18,Suitable,4/10/18
4/19/16,3/5/18,,
6/10/16,,,
3/21/16,10/22/17,,
2/10/16,12/19/17,Suitable,3/1/18
3/25/16,12/8/17,,
3/17/16,12/26/17,,
4/8/16,1/24/18,,
6/15/16,2/14/18,,
5/10/16,1/9/18,,
3/28/16,3/5/18,,
5/3/16,2/5/18,,
6/14/16,2/2/18,Suitable,5/2/18
3/22/16,12/28/18,,
11/17/15,9/19/17,Suitable,4/10/18
4/13/16,1/16/18,Suitable,3/1/18
1/28/16,1/10/18,Suitable,4/10/18
4/22/16,,,
3/21/16,12/23/17,,
11/13/15,9/14/17,,
12/17/15,1/2/18,,
6/10/16,1/25/18,Suitable,4/10/18
12/18/15,9/24/17,Suitable,2/15/18
1/26/16,11/5/17,Suitable,3/1/18
4/7/16,1/24/18,,
6/13/16,1/25/18,,
3/29/16,1/10/18,Suitable,3/20/18
3/3/16,12/31/17,,
12/22/15,2/28/18,Pending,
4/19/16,1/10/18,Suitable,2/15/18
2/19/16,1/16/18,Suitable,3/20/18
3/23/16,12/26/17,,
4/14/16,2/10/18,,
3/21/16,12/27/17,Suitable,3/1/18
6/8/16,2/4/18,Suitable,4/3/18
12/8/15,9/3/17,Unsuitable,
6/2/16,2/8/18,,
1/11/16,,,
3/30/16,12/20/17,Suitable,3/1/18
3/1/16,1/2/18,,
2/19/16,11/27/17,,
12/1/15,,Unsuitable,
3/24/16,1/22/18,Suitable,4/10/18
4/28/16,2/4/18,Suitable,4/10/18
3/24/16,,,
12/9/15,11/1/17,,
2/5/16,11/1/17,,
6/24/16,2/5/18,,
1/8/16,11/28/17,Suitable,3/1/18
5/18/16,2/9/18,,
12/10/15,9/24/17,Unsuitable,
3/17/16,11/17/17,Suitable,3/1/18
5/18/16,1/11/18,,
4/19/16,1/4/18,,
6/23/16,3/5/18,,
3/16/16,1/10/18,,
3/17/16,1/8/18,,
6/22/16,2/27/18,Suitable,5/2/18
3/31/16,1/16/18,Pending,
3/11/16,11/16/17,Suitable,3/1/18
4/14/16,2/10/18,Suitable,3/23/18
4/29/16,,,
6/22/16,1/22/18,,
1/29/16,12/26/17,Suitable,3/1/18
12/11/15,9/28/17,Suitable,3/1/18
1/13/16,1/9/18,,
3/10/16,11/18/17,,
12/11/15,2/9/18,,
3/2/16,11/20/17,,
11/20/15,9/7/17,Suitable,3/1/18
4/18/16,1/16/18,,
4/19/16,1/10/18,,
1/28/16,11/16/17,Suitable,4/10/18
3/25/16,2/9/18,,
4/27/16,1/24/18,,
12/30/15,1/24/18,,
5/13/16,1/22/18,,
3/7/16,1/25/18,Suitable,4/10/18
3/24/16,1/23/18,,
6/2/16,11/5/17,,
4/1/16,12/26/17,Suitable,2/15/18
3/29/16,1/23/18,,
11/19/15,10/6/17,Suitable,4/10/18
4/27/16,1/30/18,,
11/25/15,8/29/17,Unsuitable,
4/13/16,1/16/18,,
4/15/16,1/22/18,Suitable,4/10/18
5/12/16,2/8/18,Suitable,4/10/18
12/18/15,10/23/17,Suitable,3/1/18
6/23/16,1/17/18,,
6/15/16,2/15/18,,
3/18/16,N/A,,
12/30/15,10/23/17,Suitable,5/2/18
